LISTING_NEIGHBOURHOOD,MONTH_YEAR,MAXIMUM_PRICE,MINIMUM_PRICE,MEDIAN_PRICE,AVERAGE_PRICE,DISTINCT_HOST,SUPERHOST_RATE,AVG_REVIEW_SCORES_RATINGS,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTING,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTING,TOTAL_NUMBER_OF_STAYS,AVG_ESTIMATED_REVENUE
Woollahra,1/10/2020,28613,20,150,341.6435188,1198,9.0403,93.722826,-2.24,,236418,7400.159854
Bayside,1/11/2020,2904,14,78,112.5416385,1115,13.3378,92.329361,-2.38,,838140,2083.918077
Blacktown,1/11/2020,2000,18,61,92.80701754,221,11.9298,91.059172,1.42,,187495,1227.364912
Burwood,1/11/2020,530,15,69.5,91.42125984,153,7.0866,89.736196,-4.15,,23328,1248.625984
Camden,1/11/2020,425,35,100,122.6792453,42,30.1887,94.882353,0,,21025,1801.018868
Campbelltown,1/11/2020,660,25,78,120.7474747,68,26.2626,90.428571,3.13,,55965,1426.050505
Canada Bay,1/11/2020,1100,21,100,141.172043,322,8.6022,93.70339,-6.06,,131886,2887.44086
Canterbury-Bankstown,1/11/2020,900,13,70,95.35532995,465,13.3672,91.065395,-3.43,,357006,1391.353638
Cumberland,1/11/2020,15000,15,85,173.7334755,358,13.4328,91.958861,0.21,,131745,3909.452026
Fairfield,1/11/2020,840,20,69.5,92.03658537,52,10.9756,92.415094,-3.53,,28152,1146.743902
Georges River,1/11/2020,1564,21,70,107.4868735,302,15.0358,92.408397,0.96,,132498,1984.066826
Hornsby,1/11/2020,1466,20,89,151.5338164,305,26.57,93.639241,-2.82,,243406,2774.289855
Hunters Hill,1/11/2020,1000,30,167.5,240.58,50,8,95.382353,-1.96,,5676,4390.52
Inner West,1/11/2020,9021,17,100,156.7395926,1874,13.5075,93.535354,-0.09,,966454,3331.626661
Lane Cove,1/11/2020,2750,25,108.5,214.6081081,227,13.1757,92.061538,-1.99,,49437,4290.675676
Liverpool,1/11/2020,9999,24,83,183.9545455,108,22.7273,93.147727,0.76,,70856,3820.840909
Mosman,1/11/2020,4000,30,213.5,410.2405858,332,10.251,94.421769,-2.45,,10879,8804.711297
North Sydney,1/11/2020,14589,26,130,201.9705882,916,14.5378,94.26247,-5.41,,335985,4212.12437
Northern Beaches,1/11/2020,10000,20,200,353.3758136,3896,15.7254,95.053996,-0.31,,6245148,7872.26097
Parramatta,1/11/2020,3000,20,80,107.396648,395,12.4767,90.478528,0,,333111,1517.821229
Penrith,1/11/2020,2329,24,100,177.3548387,104,31.6129,95.348624,-2.52,,56175,3107.916129
Randwick,1/11/2020,10000,16,108,187.2213006,2430,9.4227,92.517609,-2.14,,1076820,4271.85136
Ryde,1/11/2020,829,16,80,101.9741824,457,13.0809,92.845771,-0.85,,139295,1850.462995
Strathfield,1/11/2020,4567,20,69,122.1639344,141,13.6612,87.781513,-5.67,,5538,1218.786885
Sutherland Shire,1/11/2020,1500,24,135.5,216.4527559,449,26.1811,95.643979,0.2,,420783,4519.163386
Sydney,1/11/2020,22500,11,115,169.3023937,5728,13.9228,92.657575,-1.62,,4571650,3583.400342
The Hills Shire,1/11/2020,9999,25,75,223.2605863,235,17.5896,92.495238,-2.23,,48389,2088.931596
Waverley,1/11/2020,10000,5,150,235.6504219,3964,8.9662,94.036782,-0.52,,1298462,5626.181857
Willoughby,1/11/2020,14568,24,102,208.1257732,372,11.134,92.471154,-1.62,,92120,4706.740206
Woollahra,1/11/2020,28613,20,150,319.424735,1192,9.3993,93.691372,-1.6,,231721,6947.042403
Bayside,1/12/2020,2904,15,80,116.8160951,1128,13.1949,92.124726,1.08,,954780,2486.875352
Blacktown,1/12/2020,2000,22,61.5,92.99295775,217,12.2807,91,-0.35,,244805,1670.380282
Burwood,1/12/2020,530,16,70,100.1984127,151,7.9365,89.959064,-0.79,,27594,1635.718254
Camden,1/12/2020,472,35,100,127.6037736,43,30.1887,95.028571,0,,23250,2250.075472
Campbelltown,1/12/2020,2243,24,83.5,174.3627451,69,23.5294,89.578947,3.03,,65345,3326.5
Canada Bay,1/12/2020,3300,21,104,157.1811024,324,8.6614,93.13617,2.42,,145384,3385.587927
Canterbury-Bankstown,1/12/2020,900,13,70,98.41876047,457,13.2328,91.054645,1.02,,439179,1839.879397
Cumberland,1/12/2020,15000,15,93,178.1279318,359,12.3667,90.246106,0,,147645,4254.4371
Fairfield,1/12/2020,1429,20,75,109.1764706,56,10.5882,92.203704,3.66,,32959,1778.164706
Georges River,1/12/2020,1850,21,73,113.5889724,294,14.5363,92.342742,-4.77,,143854,2333.997494
Hornsby,1/12/2020,1466,20,94,165.6436782,322,26.1468,93.912121,5.07,,297772,3564.937931
Hunters Hill,1/12/2020,1000,30,164,273.0392157,50,9.8039,95.16129,2,,7014,6019.137255
Inner West,1/12/2020,9021,17,100,162.3463437,1866,13.9973,93.560284,-1.28,,1024974,3710.881561
Lane Cove,1/12/2020,2750,25,110,216.790378,221,13.4021,91.798942,-1.69,,53181,4917.360825
Liverpool,1/12/2020,503,24,90,114.1804511,106,22.5564,93.597701,0.76,,79254,2032.902256
Mosman,1/12/2020,8230,30,250,514.0373444,333,10.7884,94.401384,0.84,,11595,11026.70747
North Sydney,1/12/2020,14589,26,135,213.7437604,933,14.3095,94.411976,1.01,,363142,4744.770383
Northern Beaches,1/12/2020,10000,20,214,396.8408673,3987,15.5387,95.116337,2.65,,6966939,9548.082225
Parramatta,1/12/2020,3000,20,80,110.2633588,400,12.2137,90.675,-2.42,,390498,1997.339695
Penrith,1/12/2020,2172,24,114,183.2919255,108,30.4348,95.485981,3.87,,69875,3609.453416
Randwick,1/12/2020,10000,16,110,198.3230514,2451,9.2824,92.399566,0.8,,1132305,4695.33341
Ryde,1/12/2020,1086,16,85,105.1544992,460,13.073,92.906634,1.38,,160719,2223.342954
Strathfield,1/12/2020,4567,20,67,129.0338983,141,14.1243,89.106195,-3.28,,6216,1476.59887
Sutherland Shire,1/12/2020,1669,24,148,236.4466019,454,26.4078,95.7,1.38,,501020,5712.073786
Sydney,1/12/2020,22500,11,120,181.9059086,5668,14.3371,92.673168,-1.61,,4916550,4181.368297
The Hills Shire,1/12/2020,7918,25,75,208.2094595,227,16.8919,92.39196,-3.58,,60478,4009.027027
Waverley,1/12/2020,10000,5,150,256.741566,4009,8.9736,94.149383,1.31,,1354199,6210.09621
Willoughby,1/12/2020,14568,22,115,237.5731959,375,10.5155,92.339934,0,,108210,5825.529897
Woollahra,1/12/2020,28613,25,155,346.1704871,1172,8.8109,93.759174,-1.34,,238658,7626.09957
Bayside,1/01/2021,2904,15,80,128.8322237,1128,11.8509,92.107301,0.6,,934290,2631.88482
Blacktown,1/01/2021,2228,22,61,106.6807018,213,11.9298,90.596591,0.35,,225225,1718.115789
Burwood,1/01/2021,530,16,70,98.87250996,149,9.5618,89.971591,-0.4,,27846,1636.167331
Camden,1/01/2021,448,35,100,127.2264151,43,37.7358,94.40625,0,,21375,1837.056604
Campbelltown,1/01/2021,8000,21,83,237.4271845,69,26.2136,89.84,0.98,,69195,3293.834951
Canada Bay,1/01/2021,3586,21,100,155.7057292,327,8.0729,93.438298,0.79,,142630,3378.106771
Canterbury-Bankstown,1/01/2021,893,13,70,97.53872054,452,10.9428,91.094444,-0.5,,400803,1658.828283
Cumberland,1/01/2021,15000,15,95,180.6336207,357,13.1466,90.732704,-1.07,,138165,4137.532328
Fairfield,1/01/2021,840,15,78,105.0240964,54,10.8434,92.345455,-2.35,,36547,1874.421687
Georges River,1/01/2021,1807,21,70,111.6801008,291,10.5793,91.516,-0.5,,139264,2137.277078
Hornsby,1/01/2021,1466,20,94,165.0627907,321,27.907,93.878505,-1.15,,284512,3242.02093
Hunters Hill,1/01/2021,1200,30,195,310.9038462,50,7.6923,95.28125,1.96,,7008,6406.615385
Inner West,1/01/2021,9021,17,100,160.9795826,1838,13.2426,93.522078,-1.12,,1009641,3727.307623
Lane Cove,1/01/2021,2200,25,110,213.4532872,218,15.2249,91.590426,-0.69,,52002,4491.366782
Liverpool,1/01/2021,750,24,91,116.6595745,107,14.1844,93.681319,6.02,,70788,1622.77305
Mosman,1/01/2021,8230,30,232.5,474.473029,335,12.8631,94.465986,0,,11191,9975.321577
North Sydney,1/01/2021,14589,26,130,211.433584,921,11.863,94.372902,-0.42,,352755,4618.187135
Northern Beaches,1/01/2021,10000,20,206,395.6595086,3931,15.2973,95.116475,-0.94,-50,6367698,8548.626678
Parramatta,1/01/2021,3000,20,78,110.0665434,403,11.0906,90.061538,3.24,,388130,2018.994455
Penrith,1/01/2021,1795,24,119,177.4792899,110,22.4852,95.513274,4.97,,56750,2793.319527
Randwick,1/01/2021,10000,18,110,195.0023102,2434,8.1518,92.370915,-0.26,,1100325,4382.172277
Ryde,1/01/2021,2215,14,85,111.458194,456,13.8796,92.82716,1.53,,163852,2328.617057
Strathfield,1/01/2021,4567,20,69.5,127.8426966,141,12.9213,88.905172,0.56,,6506,1882.758427
Sutherland Shire,1/01/2021,1741,24,147,235.3764479,452,27.6062,95.84596,0.58,,456084,5060.635135
Sydney,1/01/2021,23929,11,120,194.9186802,5625,13.1485,92.650375,1.2,,4784200,4237.681958
The Hills Shire,1/01/2021,8224,25,75,213.1137124,225,15.0502,92.40404,1.01,,55330,3131.076923
Waverley,1/01/2021,10000,5,150,250.8729594,3975,7.9079,94.136772,-0.5,100,1332232,6037.476978
Willoughby,1/01/2021,14568,24,110,237.8959184,373,9.3878,92.478827,1.03,,102200,5695.526531
Woollahra,1/01/2021,28613,25,150,334.1697842,1164,7.6978,93.698394,-0.43,,235298,7258.160432
Bayside,1/02/2021,2904,15,80,124.7214334,1111,11.733,92.0299,-1.53,,867330,2421.277214
Blacktown,1/02/2021,2000,22,63,93.55272727,216,11.9565,90.856287,-3.51,0,183095,1075.287273
Burwood,1/02/2021,530,16,70,95.66521739,145,10,90.440476,-8.37,,23994,1451.769565
Camden,1/02/2021,427,35,100,125.7115385,42,38.4615,94.393939,-1.89,,18600,1734.557692
Campbelltown,1/02/2021,10000,20,83,268.245283,73,27.1028,90.298701,2.91,,63350,3396.575472
Canada Bay,1/02/2021,3300,21,100,153.0680628,322,8.8773,92.829167,-0.52,,136425,3206.447644
Canterbury-Bankstown,1/02/2021,2261,13,70,105.5750422,453,10.7383,91.111732,-0.17,,375609,1705.252951
Cumberland,1/02/2021,15000,15,98.5,180.8432203,359,13.1078,90.572308,1.72,,133635,3840.887712
Fairfield,1/02/2021,840,20,75,101.3411765,56,12.7907,92.482143,2.41,,30222,1225.270588
Georges River,1/02/2021,1750,21,70,108.8193384,289,10.6599,91.51417,-1.01,,127075,1876.918575
Hornsby,1/02/2021,1466,20,95,162.3309693,319,28.7059,93.909657,-1.63,100,249186,2812.234043
Hunters Hill,1/02/2021,1500,30,155,321.7647059,49,7.8431,94.625,-1.92,,6168,6134.196078
Inner West,1/02/2021,9021,17,100,160.1543747,1828,13.2387,93.486859,-0.95,,968012,3516.48557
Lane Cove,1/02/2021,2200,25,108.5,215.0035211,217,15.493,91.675676,-1.73,,47619,4462.401408
Liverpool,1/02/2021,750,24,95,121.3623188,106,14.4928,94.086957,-2.13,,65960,1598.963768
Mosman,1/02/2021,4000,30,237,432.6583333,333,12.7083,94.465753,-0.41,,10938,9214.1375
North Sydney,1/02/2021,14589,26,130,208.10615,916,12.037,94.423216,-0.84,,337584,4322.360573
Northern Beaches,1/02/2021,10000,20,200,370.2511967,3920,15.0614,95.137888,-0.78,100,6080703,7774.367326
Parramatta,1/02/2021,3000,20,79,107.6299065,400,10.6145,89.817337,-1.11,,341658,1615.308411
Penrith,1/02/2021,1832,24,120,182.4939024,106,23.6364,95.577982,-2.96,,60025,3223.530488
Randwick,1/02/2021,10000,18,110,188.4466403,2426,8.1773,92.155435,0.2,,1077630,4222.190053
Ryde,1/02/2021,1746,14,86.5,110.043771,453,13.1313,92.549505,-0.67,,153062,2149.104377
Strathfield,1/02/2021,4567,20,70,131.5674157,141,12.9213,89.1875,0,,5734,1441.61236
Sutherland Shire,1/02/2021,1988,24,140.5,224.3313725,447,27.0588,95.782609,-1.54,,427343,4621.754902
Sydney,1/02/2021,23571,11,120,189.0261559,5581,12.6827,92.606207,-1.05,,4650275,4019.33854
The Hills Shire,1/02/2021,6627,25,75,203.3491525,222,15.5932,92.306122,-1.34,,53900,2338.766102
Waverley,1/02/2021,10000,5,150,249.3255863,3945,7.832,94.102315,-0.94,100,1308395,5987.010142
Willoughby,1/02/2021,14568,24,113.5,212.8088235,367,9.434,92.647249,-2.86,,95040,4780.058824
Woollahra,1/02/2021,28613,25,152,333.3258508,1157,7.9595,93.752887,-0.65,,226450,6887.75887
Bayside,1/03/2021,2904,15,80,126.8485477,1106,11.6471,92.06772,-2.23,25,883230,2613.850622
Blacktown,1/03/2021,2000,22,65,97.65671642,216,12.4542,91.84375,-2.55,400,198385,1203.787313
Burwood,1/03/2021,530,16,70,96.94117647,143,10.8597,90.70303,-3.91,,25488,1693.434389
Camden,1/03/2021,425,35,100,126.8039216,41,39.2157,94.393939,-1.92,,20950,1971.019608
Campbelltown,1/03/2021,10000,22,82,265.0754717,72,28.972,90.556962,0,0,74445,3462.716981
Canada Bay,1/03/2021,3300,21,100,154.2,321,8.6614,92.622881,-0.52,0,142732,3437.539474
Canterbury-Bankstown,1/03/2021,1000,13,70,99.43396226,450,11.0922,91.025352,-1.69,0,383877,1580.401372
Cumberland,1/03/2021,15000,15,95,179.6860707,359,12.2407,90.692073,1.91,0,151050,4094.731809
Fairfield,1/03/2021,840,17,75,99.34482759,57,12.5,92.864407,2.35,0,33902,1483.229885
Georges River,1/03/2021,1750,21,70,109.0848329,291,10.2564,92.145228,-1.02,0,130577,1943.437018
Hornsby,1/03/2021,1466,20,90,160.562201,316,28.3333,93.328125,-1.18,0,257006,2900.229665
Hunters Hill,1/03/2021,1500,30,190,345.5490196,49,7.8431,94.612903,0,,6072,5607.980392
Inner West,1/03/2021,9021,17,100,161.0769231,1805,13.2067,93.472389,-1.15,,976638,3596.89759
Lane Cove,1/03/2021,2000,25,107,205.748227,215,15.6028,91.108108,-0.7,,48744,4613.223404
Liverpool,1/03/2021,750,24,90,124.3308824,104,13.9706,93.608696,-1.45,,74222,1935.220588
Mosman,1/03/2021,4000,30,233,435.1953291,331,12.5,94.111888,-1.88,,11101,9798.123142
North Sydney,1/03/2021,14589,26,130,209.1971113,910,11.7997,94.364634,-0.84,0,345241,4521.480034
Northern Beaches,1/03/2021,10000,20,200,369.3620726,3890,14.8459,95.104252,-0.79,0,6138615,7836.590099
Parramatta,1/03/2021,3000,20,80,108.3648649,393,10.9405,90.066038,-3.18,50,349169,1683.565637
Penrith,1/03/2021,2295,24,120,207.1165644,107,23.1707,94.678899,-0.61,0,63100,3524.104294
Randwick,1/03/2021,10000,18,110,187.4341578,2396,8.0613,92.142464,-1.45,11.11,1079040,4166.582888
Ryde,1/03/2021,2321,14,85,109.3850085,447,12.6065,92.190476,-1.18,,157456,2235.221465
Strathfield,1/03/2021,4567,20,70,130.5,141,13.6364,89.423423,-1.12,,5920,1458.244318
Sutherland Shire,1/03/2021,1988,24,140.5,225.3007813,450,26.3672,95.794344,0.39,,434477,4609.646484
Sydney,1/03/2021,22500,11,120,192.4345253,5538,12.8959,92.546627,-1.55,100,4629375,4202.204986
The Hills Shire,1/03/2021,6025,25,75,201.6689895,220,15.625,92.404145,-2.71,,51161,2404.397213
Waverley,1/03/2021,10000,5,150,243.4961489,3908,7.6528,94.125896,-1.25,0,1296977,5813.316645
Willoughby,1/03/2021,14568,24,112.5,214.832636,366,8.977,92.569132,0.42,0,98200,4929.995816
Woollahra,1/03/2021,28613,25,150,329.920438,1152,7.8102,93.693473,-0.8,,226548,6739.39927
Bayside,1/04/2021,2904,15,80,120.0456461,1087,11.1421,92.248853,-1.52,140,879210,2492.330056
Blacktown,1/04/2021,2000,22,66,100.219697,218,11.2727,92.019608,-1.49,120,212850,1264.128788
Burwood,1/04/2021,530,16,72.5,100.5350877,151,14.0351,90.197605,3.17,,24216,1651.605263
Camden,1/04/2021,425,35,94,109.24,40,32,94.967742,-1.96,,23050,1968.8
Campbelltown,1/04/2021,760,25,83,130.2571429,72,24.5283,90.716049,-0.94,0,68600,2231
Canada Bay,1/04/2021,3300,25,109,158.7345845,314,8,93.695652,-1.84,100,133535,3306.726542
Canterbury-Bankstown,1/04/2021,851,13,70,96.07005254,448,10.7452,91.33432,-2.06,100,366054,1447.059545
Cumberland,1/04/2021,15000,15,100,191.0977273,331,10.3604,91.483444,-8.52,300,132495,4162.993182
Fairfield,1/04/2021,840,20,77.5,107.8695652,60,12.9032,92.262295,5.75,0,31901,1319.717391
Georges River,1/04/2021,1750,21,70,113.2486486,284,10.6101,92.299107,-4.88,600,122009,1841.932432
Hornsby,1/04/2021,1466,20,95,168.0143885,322,25.5319,93.619048,-0.24,200,250784,2761.191847
Hunters Hill,1/04/2021,1500,30,160.5,339.2407407,51,7.4074,94.882353,5.88,,5916,5346.425926
Inner West,1/04/2021,9021,17,100,162.9791667,1761,13.6128,93.227882,-2.13,1000,975783,3709.975852
Lane Cove,1/04/2021,2000,25,108.5,203.8051471,207,12.8205,91.356757,-3.55,,50508,4823.452206
Liverpool,1/04/2021,750,24,100,126.4836066,94,10.6557,92.547619,-10.29,,71808,2127.540984
Mosman,1/04/2021,4000,30,237,440.1375546,322,8.6768,94.126761,-2.76,200,11186,9947.024017
North Sydney,1/04/2021,14589,26,135,211.3807107,898,12.4155,94.2954,0.42,100,354185,4433.748731
Northern Beaches,1/04/2021,10000,20,200,379.1739408,3841,14.5374,95.178673,-1.47,650,6063432,7925.533745
Parramatta,1/04/2021,3000,20,79,112.2185039,398,12.4272,90.332268,-1.93,133.33,344766,1713.966535
Penrith,1/04/2021,2180,24,120,173.9216867,113,21.4286,94.734513,1.84,100,64675,2719.843373
Randwick,1/04/2021,10000,15,107,187.8658373,2383,7.9625,92.073198,-0.6,50,1078635,4154.987895
Ryde,1/04/2021,5000,15,85,116.6425993,427,12.4324,92.844327,-5.62,,148941,2499.66787
Strathfield,1/04/2021,4567,20,70,132.2727273,144,7.9096,89.226087,0,,6056,1466.840909
Sutherland Shire,1/04/2021,2143,24,150,232.2380952,441,27.8107,95.687339,-1.56,,429024,4635.011905
Sydney,1/04/2021,14315,11,120,181.645653,5440,12.5563,92.559201,-2.53,128.57,4659175,4124.522801
The Hills Shire,1/04/2021,6942,25,75,232.9672727,213,16.1871,92.553191,-4.18,200,52404,2578.829091
Waverley,1/04/2021,10000,5,150,243.1910966,3856,7.2263,94.033425,-1.48,325,1283073,5859.922258
Willoughby,1/04/2021,14568,24,110,218.228145,358,9.5745,92.295082,-1.88,0,96590,4968.605544
Woollahra,1/04/2021,28613,25,152,361.9946524,1101,8.7652,93.930403,-4.45,200,223636,7505.017571
